Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Sergi Roberto,es ESP,"DF,MF",Barcelona,31-071,1992,12.2,1.72,1.15,0.98,0.49,0.25,0.82,2.54,1.23,0
Rubén,es ESP,"DF,MF",Espanyol,22-074,2001,9.6,3.02,1.56,1.77,0.94,0.31,1.77,4.79,1.88,0
Damián Suárez,uy URU,"DF,MF",Getafe,34-357,1988,14.8,2.64,1.69,1.28,0.95,0.41,0.74,3.38,1.62,0
Mario Suárez,es ESP,"DF,MF",Rayo Vallecano,36-054,1987,0.1,0,0,0,0,0,0,0,0,0
Kevin Vázquez,es ESP,"DF,MF",Celta Vigo,30-027,1993,2,2.5,1.5,0.5,1.5,0.5,0,2.5,3.5,0
Axel Witsel,be BEL,"DF,MF",Atlético Madrid,34-097,1989,16.7,1.14,0.66,0.66,0.42,0.06,0.9,2.04,2.99,0
Abner,br BRA,DF,Betis,22-327,2000,4.4,2.5,1.82,2.05,0.45,0,1.36,3.86,3.41,0
Marcos Acuña,ar ARG,DF,Sevilla,31-173,1991,16.7,2.93,1.74,1.86,0.78,0.3,1.14,4.07,1.62,0
Joseph Aidoo,gh GHA,DF,Celta Vigo,27-202,1995,28.8,1.56,1.04,1.01,0.52,0.03,0.87,2.43,4.48,0
Sergio Akieme,es ESP,DF,Almería,25-124,1997,23.5,1.15,0.68,0.81,0.26,0.09,0.55,1.7,1.57,0
David Alaba,at AUT,DF,Real Madrid,30-299,1992,18.4,0.76,0.6,0.38,0.22,0.16,0.76,1.52,1.79,0.05
Jordi Alba,es ESP,DF,Barcelona,34-029,1989,13,1.54,1.08,0.77,0.77,0,0.77,2.31,1.46,0
Raúl Albiol,es ESP,DF,Villarreal,37-227,1985,22.5,1.11,0.76,0.76,0.27,0.09,0.62,1.73,4.76,0
Omar Alderete,py PAR,DF,Getafe,26-114,1996,15,1.73,0.93,1,0.73,0,1.33,3.07,3.73,0
Marcos Alonso,es ESP,DF,Barcelona,32-112,1990,8.6,1.16,0.81,0.7,0.47,0,1.16,2.33,2.79,0
Gastón Álvarez,uy URU,DF,Getafe,23-026,2000,10.1,2.28,1.58,1.58,0.59,0.1,0.99,3.27,2.57,0
Yeray Álvarez,es ESP,DF,Athletic Club,28-085,1995,22.2,1.22,0.86,0.95,0.23,0.05,1.8,3.02,3.92,0
Jordan Amavi,fr FRA,DF,Getafe,29-041,1994,2.1,1.43,0.95,1.43,0,0,1.9,3.33,3.33,0
Fabrizio Angileri,ar ARG,DF,Getafe,29-035,1994,6,1.67,1.33,1,0.5,0.17,1,2.67,1.67,0
Ronald Araújo,uy URU,DF,Barcelona,24-043,1999,15.3,1.44,0.98,0.65,0.72,0.07,0.65,2.09,2.09,0.07
Ludwig Augustinsson,se SWE,DF,Mallorca,28-363,1994,1.3,0.77,0,0.77,0,0,0.77,1.54,2.31,0
Srđan Babić,rs SRB,DF,Almería,26-362,1996,25.5,0.82,0.43,0.67,0.16,0,0.86,1.69,3.06,0.04
Loïc Bade,fr FRA,DF,Sevilla,23-008,2000,10,1.3,1.1,1,0.2,0.1,1.5,2.8,4.8,0
Alejandro Balde,es ESP,DF,Barcelona,19-183,2003,20.4,1.57,1.08,0.88,0.49,0.2,0.49,2.06,0.69,0.05
Mikel Balenziaga,es ESP,DF,Athletic Club,35-049,1988,1.3,3.08,3.08,0.77,1.54,0.77,0.77,3.85,1.54,0
Iván Balliu,al ALB,DF,Rayo Vallecano,31-108,1992,27.2,1.51,0.88,0.81,0.55,0.15,0.74,2.24,2.24,0.04
Héctor Bellerín,es ESP,DF,Barcelona,28-031,1995,1.6,1.25,0,0,1.25,0,1.88,3.13,1.25,0
Yuri Berchiche,es ESP,DF,Athletic Club,33-068,1990,17.7,1.98,1.19,0.9,0.85,0.23,1.58,3.56,2.66,0.06
Pedro Bigas,es ESP,DF,Elche,32-216,1990,19,1.79,1,1.47,0.32,0,1.58,3.37,4.21,0
Juan Brandáriz,es ESP,DF,Almería,24-048,1999,13.3,1.73,0.98,1.13,0.45,0.15,1.13,2.86,3.23,0
Santiago Bueno,uy URU,DF,Girona,24-161,1998,27.9,1.79,1.04,1.11,0.65,0.04,0.97,2.76,3.12,0.04
Leandro Cabrera,uy URU,DF,Espanyol,31-306,1991,22.8,1.58,0.83,1.14,0.44,0,1.45,3.03,3.99,0.09
Cala,es ESP,DF,Cádiz,33-144,1989,1.5,1.33,0.67,0.67,0.67,0,0.67,2,8,0
Alexander Callens,pe PER,DF,Girona,30-350,1992,0.6,3.33,3.33,1.67,1.67,0,1.67,5,6.67,0
Ander Capa,es ESP,DF,Athletic Club,31-070,1992,1.1,0.91,0.91,0.91,0,0,0,0.91,1.82,0
Isaac Carcelen,es ESP,DF,Cádiz,29-361,1993,16.7,3.47,2.57,2.04,1.14,0.3,0.84,4.31,3.65,0
Carmona,es ESP,DF,Sevilla,21-080,2002,5.9,2.2,1.86,0.85,0.51,0.85,1.19,3.39,2.88,0.17
Dani Carvajal,es ESP,DF,Real Madrid,31-098,1992,16.1,1.8,0.99,0.81,0.68,0.31,0.81,2.61,2.36,0
Catena,es ESP,DF,Rayo Vallecano,28-173,1994,26.8,0.71,0.41,0.56,0.15,0,0.67,1.38,4.59,0.04
Álex Centelles,es ESP,DF,Almería,25-162,1997,5.5,1.45,1.27,1.27,0,0.18,0.73,2.18,2.91,0
Andreas Christensen,dk DEN,DF,Barcelona,27-009,1996,14,1.07,0.71,0.43,0.64,0,1,2.07,2.93,0
Víctor Chust,es ESP,DF,Cádiz,23-045,2000,9.6,0.83,0.63,0.73,0.1,0,1.04,1.88,4.58,0
Eray Cömert,ch SUI,DF,Valencia,25-074,1998,17,1.76,1.12,1.18,0.59,0,1.41,3.18,3.76,0.06
Copete,es ESP,DF,Mallorca,23-191,1999,16.9,2.07,1.12,1.3,0.71,0.06,1.89,3.96,3.73,0.12
Jaume Costa,es ESP,DF,Mallorca,35-032,1988,22.4,1.65,1.12,0.85,0.49,0.31,0.54,2.19,1.34,0
