Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Theo Hernández,fr FRA,DF,Milan,25-195,1997,24.3,3,3,2.3,0,31,70,25,7,99
Isak Hien,se SWE,DF,Hellas Verona,24-096,1999,21.3,0,0.1,0.1,-0.1,2,35,2,1,45
Emil Holm,se SWE,DF,Spezia,22-341,2000,15.5,1,1.3,1.1,-0.3,13,30,12,5,40
Petko Hristov,bg BUL,DF,Spezia,24-049,1999,4.1,0,0,0.1,0,0,11,2,1,8
Elseid Hysaj,al ALB,DF,Lazio,29-058,1994,16,1,0.8,0.9,+0.2,9,72,10,3,68
Roger Ibanez,br BRA,DF,Roma,24-147,1998,25.3,0,0.6,0.8,-0.6,5,56,3,0,59
Igor,br BRA,DF,Fiorentina,25-071,1998,18.1,0,0.2,0.2,-0.2,3,63,2,0,63
Ardian Ismajli,al ALB,DF,Empoli,26-201,1996,19.6,0,0.3,0.4,-0.3,5,22,2,0,35
Armando Izzo,it ITA,DF,Monza,31-048,1992,19.9,0,0.8,0.6,-0.8,12,65,7,2,73
Juan Jesus,br BRA,DF,Napoli,31-313,1991,7.9,0,0.1,0.3,-0.1,2,40,1,0,48
Pierre Kalulu,fr FRA,DF,Milan,22-318,2000,24.6,0,1.2,1.1,-1.2,9,97,8,4,118
Rick Karsdorp,nl NED,DF,Roma,28-067,1995,7.9,0,1.2,1.1,-1.2,6,13,11,1,24
Denso Kasius,nl NED,DF,Bologna,20-195,2002,3.8,2,0.7,0.8,+1.3,6,6,8,6,9
Jakub Kiwior,pl POL,DF,Spezia,23-063,2000,16,0,0.2,0.6,-0.2,4,25,5,0,37
Simon Kjær,dk DEN,DF,Milan,34-024,1989,8.4,0,0,0.1,0,0,33,1,0,32
Marash Kumbulla,al ALB,DF,Roma,23-070,2000,2.7,0,0.1,0,-0.1,1,3,0,0,8
Valentino Lazaro,at AUT,DF,Torino,27-026,1996,12.8,3,2.6,2.4,+0.4,25,38,18,10,62
Manuel Lazzari,it ITA,DF,Lazio,29-141,1993,16.4,0,0.5,0.6,-0.5,8,36,10,5,45
Diego Llorente,es ESP,DF,Roma,29-246,1993,3.4,0,0,0,0,0,4,0,0,1
Luka Lochoshvili,ge GEO,DF,Cremonese,24-325,1998,15.6,1,1,0.2,0,4,37,3,1,63
