Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alejandro Pozo Pozo,es ESP,"DF,MF",Almería,24-056,1999,14,0.14,0.22,0.15,-0.08,1.21,2.07,1,0.79,3.43
Sergi Roberto,es ESP,"DF,MF",Barcelona,31-071,1992,12.2,0.08,0.06,0.09,0.02,0.66,5.57,0.82,0.49,6.72
Rubén,es ESP,"DF,MF",Espanyol,22-074,2001,9.6,0.21,0.16,0.09,0.05,0.73,1.25,0.63,0.31,1.35
Damián Suárez,uy URU,"DF,MF",Getafe,34-357,1988,14.8,0,0.07,0.07,-0.07,1.15,2.5,1.01,0.54,3.78
Mario Suárez,es ESP,"DF,MF",Rayo Vallecano,36-054,1987,0.1,0,0,0,0,0,0,0,0,0
Kevin Vázquez,es ESP,"DF,MF",Celta Vigo,30-027,1993,2,0,0.05,0.05,-0.05,1,5,1.5,1,4
Axel Witsel,be BEL,"DF,MF",Atlético Madrid,34-097,1989,16.7,0,0.04,0.02,-0.04,0.24,3.53,0.06,0,3.47
Abner,br BRA,DF,Betis,22-327,2000,4.4,0,0.02,0.11,-0.02,0.23,2.27,0.45,0.23,2.5
Marcos Acuña,ar ARG,DF,Sevilla,31-173,1991,16.7,0.06,0.17,0.24,-0.11,1.5,2.87,1.98,0.9,4.97
Joseph Aidoo,gh GHA,DF,Celta Vigo,27-202,1995,28.8,0,0,0.01,0,0.07,2.64,0.14,0,2.71
Sergio Akieme,es ESP,DF,Almería,25-124,1997,23.5,0,0.08,0.09,-0.08,0.85,1.79,0.85,0.68,2.38
David Alaba,at AUT,DF,Real Madrid,30-299,1992,18.4,0.16,0.06,0.07,0.1,0.87,3.42,0.49,0.22,3.42
Jordi Alba,es ESP,DF,Barcelona,34-029,1989,13,0.23,0.43,0.45,-0.2,2.31,8.31,2.85,1.08,9.15
Raúl Albiol,es ESP,DF,Villarreal,37-227,1985,22.5,0,0,0.02,0,0.09,4.22,0.22,0,4.18
Omar Alderete,py PAR,DF,Getafe,26-114,1996,15,0.07,0.05,0.05,0.02,0.27,2.73,0.47,0,3.93
Marcos Alonso,es ESP,DF,Barcelona,32-112,1990,8.6,0,0.03,0.08,-0.03,0.47,5.35,0.7,0.35,6.4
Gastón Álvarez,uy URU,DF,Getafe,23-026,2000,10.1,0,0.02,0.02,-0.02,0.3,1.88,0.3,0.2,2.67
Yeray Álvarez,es ESP,DF,Athletic Club,28-085,1995,22.2,0.05,0.04,0.03,0,0.54,5.27,0.36,0.18,5.77
