Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Arkadiusz Milik,pl POL,FW,Marseille,29-050,1994,1.4,0.71,0.71,0,0,0.71,0,0.71,1.43,0
Terem Moffi,ng NGA,FW,Nice,23-329,1999,7.8,0.13,0,0,0.13,0,0,0.13,0.13,0
Terem Moffi,ng NGA,FW,Lorient,23-329,1999,15.4,0.52,0.32,0.06,0.26,0.19,0.19,0.71,0.65,0
Mostafa Mohamed,eg EGY,FW,Nantes,25-142,1997,17.6,0.85,0.57,0.28,0.28,0.28,0.34,1.19,1.76,0
Steve Mounié,bj BEN,FW,Brest,28-202,1994,11.5,0.96,0.43,0,0.61,0.35,0.26,1.22,1.3,0
Bevic Moussiti-Oko,cg CGO,FW,Ajaccio,28-081,1995,7.8,0.38,0.13,0.13,0.13,0.13,0.26,0.64,1.03,0
Nathan N'Goumou,fr FRA,FW,Toulouse,23-036,2000,1,3,2,2,1,0,2,5,0,0
Ibrahima Niane,sn SEN,FW,Angers,24-039,1999,7.6,0.26,0,0,0.26,0,0.13,0.39,0.39,0
M'Baye Niang,sn SEN,FW,Auxerre,28-121,1994,13.5,0.81,0.52,0.07,0.44,0.3,0.07,0.89,1.26,0
Ado Onaiwu,jp JPN,FW,Toulouse,27-162,1995,9.2,0.87,0.43,0.22,0.33,0.33,0,0.87,0.43,0
Loïs Openda,be BEL,FW,Lens,23-062,2000,21.7,0.37,0.37,0.05,0.28,0.05,0.05,0.41,0.09,0
Adam Ounas,dz ALG,FW,Lille,26-159,1996,10,1.7,1,0.3,0.9,0.5,0.6,2.3,0.4,0
Rafael Ratão,br BRA,FW,Toulouse,27-140,1995,16.4,2.5,1.95,1.28,0.91,0.3,1.16,3.66,0.3,0
Mama Samba Baldé,gw GNB,FW,Troyes,27-164,1995,24.3,1.73,0.82,0.58,0.7,0.45,0.25,1.98,0.41,0
Amin Sarr,se SWE,FW,Lyon,22-039,2001,4.8,1.25,1.04,0,0.83,0.42,0,1.25,0.42,0
Abdallah Sima,sn SEN,FW,Angers,21-306,2001,15.6,1.15,0.64,0.13,0.83,0.19,0.19,1.35,0.96,0
Islam Slimani,dz ALG,FW,Brest,34-305,1988,11,0.45,0.27,0.18,0.18,0.09,0.09,0.55,1,0
Calvin Stengs,nl NED,FW,Nice,24-122,1998,2.4,0.83,0.83,0.42,0,0.42,0,0.83,0,0
Yuito Suzuki,jp JPN,FW,Strasbourg,21-176,2001,0.2,0,0,0,0,0,0,0,0,0
Yoann Touzghar,tn TUN,FW,Ajaccio,36-142,1986,4.9,0.61,0.41,0,0.41,0.2,0,0.61,0.2,0
Alan Virginius,fr FRA,FW,Lille,20-106,2003,2.8,1.07,0.71,0.36,0.36,0.36,0.71,1.79,0.36,0
Vitinha,pt POR,FW,Marseille,23-035,2000,2.5,2.8,1.6,0,1.6,1.2,0.4,3.2,2,0
Matthis Abline,fr FRA,"FW,MF",Rennes,20-022,2003,1.2,0.83,0.83,0,0,0.83,1.67,2.5,0.83,0
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-060,2000,23.8,1.13,0.84,0.5,0.25,0.38,0.84,1.97,0.88,0
Bradley Barcola,fr FRA,"FW,MF",Lyon,20-229,2002,10.4,1.92,1.35,0.58,0.87,0.48,1.06,2.98,0.58,0
Yanis Begraoui,fr FRA,"FW,MF",Toulouse,21-289,2001,0.7,2.86,0,1.43,0,1.43,1.43,4.29,0,0
Youcef Belaïli,dz ALG,"FW,MF",Brest,31-036,1992,4,1.25,0.5,0.75,0.5,0,0.25,1.5,0.25,0
Eliesse Ben Seghir,fr FRA,"FW,MF",Monaco,18-062,2005,9.1,1.76,0.99,0.44,1.21,0.11,0.33,2.09,0,0
Veljko Birmančević,rs SRB,"FW,MF",Toulouse,25-045,1998,3.9,2.56,1.79,0.77,1.03,0.77,1.54,4.1,0,0
Kouamé Botué,bf BFA,"FW,MF",Ajaccio,20-255,2002,2.5,1.6,0.8,0.8,0.4,0.4,0,1.6,0.4,0
Badredine Bouanani,dz ALG,"FW,MF",Nice,18-132,2004,4.8,1.04,0.42,0.21,0.63,0.21,0,1.04,0,0
Sofiane Boufal,ma MAR,"FW,MF",Angers,29-214,1993,9.3,1.51,0.97,0.75,0.43,0.32,0.54,2.04,0.11,0
Bilal Brahimi,dz ALG,"FW,MF",Nice,23-036,2000,7.2,0.69,0.42,0.14,0.42,0.14,0.42,1.11,0,0
Adam Buksa,pl POL,"FW,MF",Lens,26-281,1996,0.7,1.43,0,0,0,1.43,0,1.43,0,0
Ousmane Camara,gn GUI,"FW,MF",Auxerre,21-167,2001,0.3,3.33,3.33,0,0,3.33,0,3.33,0,0
Axel Camblan,fr FRA,"FW,MF",Brest,19-232,2003,0.8,2.5,2.5,1.25,1.25,0,0,2.5,0,0
Irvin Cardona,fr FRA,"FW,MF",Brest,25-254,1997,2.6,0.77,0,0.38,0.38,0,0.77,1.54,0.77,0
Yoann Cathline,fr FRA,"FW,MF",Lorient,20-271,2002,10.6,1.7,1.04,0.66,0.57,0.47,0.66,2.36,1.32,0.09
Fares Chaïbi,dz ALG,"FW,MF",Toulouse,20-142,2002,21.2,1.37,0.8,0.38,0.66,0.33,0.9,2.26,1.37,0.05
Gaëtan Charbonnier,fr FRA,"FW,MF",Auxerre,34-113,1988,2.8,0.71,0.36,0,0.71,0,0,0.71,1.79,0
Nuno da Costa,cv CPV,"FW,MF",Auxerre,32-068,1991,16.7,2.34,1.2,0.54,1.38,0.42,0.78,3.11,0.72,0
Sacha Delaye,fr FRA,"FW,MF",Montpellier,20-361,2002,0.2,5,0,0,0,5,0,5,0,0
Karamoko Dembele,sct SCO,"FW,MF",Brest,20-056,2003,1.8,1.11,0,0.56,0.56,0,0.56,1.67,0,0
Moussa Dembélé,fr FRA,"FW,MF",Lyon,26-281,1996,9.6,0.73,0.42,0.21,0.31,0.21,0.21,0.94,0.63,0
Stéphane Diarra,fr FRA,"FW,MF",Lorient,24-131,1998,11.8,2.12,1.44,1.19,0.76,0.17,1.86,3.98,0.76,0
Bamba Dieng,sn SEN,"FW,MF",Marseille,23-027,2000,2.2,1.82,1.82,0.91,0.45,0.45,0,1.82,0,0
Ckene Doucouré,km COM,"FW,MF",Lorient,21-011,2002,1.2,1.67,1.67,1.67,0,0,0.83,2.5,0,0
Guela Doué,fr FRA,"FW,MF",Rennes,20-184,2002,0.1,0,0,0,0,0,0,0,0,0
Rémy Dugimont,fr FRA,"FW,MF",Auxerre,36-292,1986,1.2,1.67,0.83,0,0.83,0.83,0,1.67,4.17,0
